               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11719,            0.029284,            0.052343,           0.0010586,             0.27812,          0.00094497,          0.00025092,            0.064812,            0.017567,             0.03197,              0.0919,              0.0009,              0.0009
                   1,            0.092333,            0.028244,            0.045374,           0.0019443,             0.39741,           0.0034883,          0.00072242,            0.058881,            0.013787,            0.030444,            0.082898,           0.0018981,           0.0018981
                   2,            0.070549,            0.027395,            0.037924,           0.0029333,             0.83748,            0.025424,           0.0046795,            0.046828,            0.011954,            0.030383,            0.073894,           0.0028943,           0.0028943
                   3,             0.06136,            0.026078,            0.032744,            0.052574,              0.2554,            0.056473,            0.014509,            0.038104,            0.010869,            0.030334,            0.064888,           0.0038884,           0.0038884
                   4,            0.054809,            0.022475,            0.034217,            0.060128,             0.38497,            0.085551,            0.024714,            0.037978,           0.0090351,            0.031641,            0.055881,           0.0048806,           0.0048806
                   5,            0.053456,            0.020718,            0.034325,             0.12604,             0.41008,             0.18216,            0.068129,             0.03468,           0.0094585,            0.030359,            0.046871,           0.0058708,           0.0058708
                   6,            0.051749,            0.018586,            0.034759,             0.18921,             0.24201,              0.1341,            0.046051,            0.037049,           0.0078793,            0.028101,            0.037859,            0.006859,            0.006859
                   7,            0.051722,            0.018369,             0.03472,             0.20453,             0.47886,             0.21255,            0.071111,            0.033771,           0.0073442,            0.027222,            0.028845,           0.0078453,           0.0078453
                   8,            0.049551,            0.016352,            0.031318,             0.21743,             0.45949,             0.27894,             0.10224,            0.031049,           0.0062943,            0.026758,             0.01983,           0.0088295,           0.0088295
                   9,            0.048548,             0.01494,            0.030945,             0.23391,             0.40151,             0.26099,            0.093305,            0.038995,           0.0070355,            0.031775,            0.010812,           0.0098118,           0.0098118
                  10,            0.048491,            0.014561,            0.028023,             0.16489,             0.47777,             0.22476,            0.081803,            0.036629,           0.0076933,            0.029639,            0.009901,            0.009901,            0.009901
                  11,             0.04502,            0.013771,            0.030325,             0.16493,             0.51286,             0.24779,            0.068715,            0.033406,            0.009758,            0.028235,            0.009901,            0.009901,            0.009901
                  12,            0.043888,            0.014828,            0.026053,             0.32295,             0.54569,             0.38923,             0.18405,            0.025483,           0.0067012,            0.028979,           0.0098911,           0.0098911,           0.0098911
                  13,            0.042302,             0.01381,            0.024298,             0.19125,             0.40999,             0.26398,             0.13105,             0.03238,            0.008966,            0.047839,           0.0098812,           0.0098812,           0.0098812
                  14,            0.041448,             0.01356,            0.026712,             0.24626,             0.60284,             0.33303,             0.12936,            0.029448,           0.0075438,            0.027771,           0.0098713,           0.0098713,           0.0098713
                  15,             0.04237,            0.013162,            0.025739,             0.33854,             0.53778,             0.39511,             0.20724,             0.02182,           0.0059292,            0.027222,           0.0098614,           0.0098614,           0.0098614
                  16,             0.04026,            0.013075,            0.023527,             0.23666,             0.50502,             0.35463,             0.12118,            0.029782,           0.0070126,            0.033264,           0.0098515,           0.0098515,           0.0098515
                  17,            0.038159,            0.013193,            0.025073,             0.28893,              0.6306,              0.3299,              0.1352,            0.028058,           0.0065157,            0.039709,           0.0098416,           0.0098416,           0.0098416
                  18,            0.038288,            0.012142,            0.025421,             0.25416,             0.55933,             0.39417,             0.16398,            0.027722,           0.0074034,            0.029846,           0.0098317,           0.0098317,           0.0098317
                  19,            0.038435,            0.012764,            0.025525,             0.29083,             0.57016,              0.3085,             0.11699,            0.033226,           0.0071807,            0.032544,           0.0098218,           0.0098218,           0.0098218
                  20,            0.038265,            0.012956,            0.023339,             0.12927,             0.14345,            0.085895,            0.021678,            0.053188,           0.0086231,            0.031421,           0.0098119,           0.0098119,           0.0098119
                  21,            0.036751,            0.012784,            0.022851,             0.37128,             0.59744,             0.42376,             0.16458,            0.030219,           0.0062525,            0.031311,            0.009802,            0.009802,            0.009802
                  22,             0.03614,            0.012721,            0.019873,             0.40027,             0.49932,             0.38805,             0.16329,             0.02554,           0.0061467,            0.031311,           0.0097921,           0.0097921,           0.0097921
                  23,            0.035753,             0.01301,            0.020197,             0.29945,             0.54015,             0.34245,             0.18867,            0.021863,           0.0060892,            0.044995,           0.0097822,           0.0097822,           0.0097822
                  24,            0.033909,            0.012064,            0.023397,             0.33627,              0.5871,             0.40237,             0.18845,            0.025353,            0.005825,            0.028491,           0.0097723,           0.0097723,           0.0097723
                  25,            0.035246,            0.012479,             0.02153,             0.34286,             0.45285,             0.35279,             0.15841,            0.026354,            0.007165,            0.029834,           0.0097624,           0.0097624,           0.0097624
                  26,             0.03416,            0.011965,            0.018909,             0.26446,             0.36984,             0.28096,             0.14759,            0.025276,           0.0085933,            0.028784,           0.0097525,           0.0097525,           0.0097525
                  27,            0.034516,            0.011957,            0.019443,             0.43969,             0.53211,             0.43433,             0.20468,            0.024389,           0.0069678,            0.024341,           0.0097426,           0.0097426,           0.0097426
                  28,            0.034841,            0.011925,            0.020791,             0.31556,             0.30007,             0.20081,             0.04877,            0.037723,           0.0075886,            0.040063,           0.0097327,           0.0097327,           0.0097327
                  29,            0.035656,            0.012316,            0.021523,             0.49424,             0.56348,             0.52866,             0.26187,            0.024516,           0.0064774,            0.025031,           0.0097228,           0.0097228,           0.0097228
                  30,            0.034202,            0.012088,            0.020019,             0.42994,             0.66338,             0.50027,             0.25133,            0.024952,           0.0059526,            0.024762,           0.0097129,           0.0097129,           0.0097129
                  31,            0.035227,            0.012216,            0.017979,             0.45914,             0.47627,             0.44568,             0.26446,            0.020591,            0.005847,            0.037097,            0.009703,            0.009703,            0.009703
                  32,             0.03317,            0.012142,            0.017409,             0.47819,             0.62873,             0.53571,             0.29885,            0.021219,           0.0060923,            0.025964,           0.0096931,           0.0096931,           0.0096931
                  33,            0.032694,            0.012137,            0.016298,             0.45915,             0.48734,             0.44836,             0.21739,            0.025236,           0.0055473,            0.044568,           0.0096832,           0.0096832,           0.0096832
                  34,            0.032086,            0.011379,            0.016091,             0.38341,             0.62234,             0.58117,             0.27601,             0.02455,           0.0057969,            0.029236,           0.0096733,           0.0096733,           0.0096733
                  35,            0.032609,            0.011406,            0.017354,             0.46561,             0.54694,             0.52001,             0.25675,            0.023301,            0.005569,             0.03595,           0.0096634,           0.0096634,           0.0096634
                  36,            0.032563,            0.011789,             0.01529,             0.46975,             0.50878,             0.53389,             0.24382,            0.024463,           0.0058985,            0.035022,           0.0096535,           0.0096535,           0.0096535
                  37,            0.032789,            0.011179,             0.01539,              0.5227,             0.52068,             0.51446,             0.24578,            0.025252,           0.0068524,            0.026453,           0.0096436,           0.0096436,           0.0096436
                  38,            0.033079,            0.011521,            0.015958,             0.38548,             0.56347,             0.49612,             0.25597,            0.021936,           0.0062945,            0.025989,           0.0096337,           0.0096337,           0.0096337
